symbol,token,,,,,
GODREJCP-EQ,10099,,ABBOTINDIA-EQ,17903,,ABBOTINDIA-EQ
ORICONENT-EQ,10159,,ACC-EQ,22,,ACC-EQ
UNITDSPR-EQ,10447,,APLAPOLLO-EQ,25780,,APLAPOLLO-EQ
ARVSMART-EQ,10457,,AUBANK-EQ,21238,,AUBANK-EQ
RAMRAT-EQ,10485,,ADANIENSOL-EQ,10217,,ADANIENSOL-EQ
MOM30IETF-EQ,10585,,ADANIENT-EQ,25,,ADANIENT-EQ
PONNIERODE-EQ,10661,,ADANIGREEN-EQ,3563,,ADANIGREEN-EQ
MOVALUINAV-EQ,10831,,ADANIPORTS-EQ,15083,,ADANIPORTS-EQ
NUCLEUS-EQ,10791,,ADANIPOWER-EQ,17388,,ADANIPOWER-EQ
DREAMFOLKS-EQ,10859,,ATGL-EQ,6066,,ATGL-EQ
GRMOVER-EQ,10871,,ABCAPITAL-EQ,21614,,ABCAPITAL-EQ
HDFCSILVER-EQ,10876,,ABFRL-EQ,30108,,ABFRL-EQ
TMB-EQ,10945,,ALKEM-EQ,11703,,ALKEM-EQ
BANKIETF-EQ,11037,,AMBUJACEM-EQ,1270,,AMBUJACEM-EQ
SANGINITA-EQ,11032,,APOLLOHOSP-EQ,157,,APOLLOHOSP-EQ
VARDHACRLC-EQ,11220,,APOLLOTYRE-EQ,163,,APOLLOTYRE-EQ
HDFCGROWTH-EQ,11241,,ASHOKLEY-EQ,212,,ASHOKLEY-EQ
SUVEN-EQ,11233,,ASIANPAINT-EQ,236,,ASIANPAINT-EQ
MUKANDLTD-EQ,11325,,ASTRAL-EQ,14418,,ASTRAL-EQ
PTC-EQ,11355,,AUROPHARMA-EQ,275,,AUROPHARMA-EQ
LUXIND-EQ,11301,,DMART-EQ,19913,,DMART-EQ
PVTBANIETF-EQ,11386,,AXISBANK-EQ,5900,,AXISBANK-EQ
NV20-EQ,11457,,BSE-EQ,19585,,BSE-EQ
EXCELINDUS-EQ,11471,,BAJAJ-AUTO-EQ,16669,,BAJAJ-AUTO-EQ
GLFL-EQ,1156,,BAJFINANCE-EQ,317,,BAJFINANCE-EQ
LT-EQ,11483,,BAJAJFINSV-EQ,16675,,BAJAJFINSV-EQ
KOTARISUG-EQ,11647,,BAJAJHLDNG-EQ,305,,BAJAJHLDNG-EQ
GTL-EQ,1162,,BAJAJHFL-EQ,25270,,BAJAJHFL-EQ
INDOCO-EQ,11677,,BANDHANBNK-EQ,2263,,BANDHANBNK-EQ
JBMA-EQ,11655,,BANKBARODA-EQ,4668,,BANKBARODA-EQ
ALKEM-EQ,11703,,BANKINDIA-EQ,4745,,BANKINDIA-EQ
WELCORP-EQ,11821,,MAHABANK-EQ,11377,,MAHABANK-EQ
YESBANK-EQ,11915,,BDL-EQ,2144,,BDL-EQ
MANINDS-EQ,11884,,BEL-EQ,383,,BEL-EQ
DCXINDIA-EQ,11895,,BHARATFORG-EQ,422,,BHARATFORG-EQ
GRANULES-EQ,11872,,BHEL-EQ,438,,BHEL-EQ
FCSSOFT-EQ,11999,,BPCL-EQ,526,,BPCL-EQ
MSPL-EQ,11919,,BHARTIARTL-EQ,10604,,BHARTIARTL-EQ
AURIONPRO-EQ,12022,,BHARTIHEXA-EQ,23489,,BHARTIHEXA-EQ
BASML-EQ,12034,,BIOCON-EQ,11373,,BIOCON-EQ
FIVESTAR-EQ,12032,,BOSCHLTD-EQ,2181,,BOSCHLTD-EQ
KAYNES-EQ,12092,,BRITANNIA-EQ,547,,BRITANNIA-EQ
FINIETF-EQ,12578,,CGPOWER-EQ,760,,CGPOWER-EQ
PRECAM-EQ,12603,,CANBK-EQ,10794,,CANBK-EQ
AMBUJACEM-EQ,1270,,CHOLAFIN-EQ,685,,CHOLAFIN-EQ
DJML-EQ,12749,,CIPLA-EQ,694,,CIPLA-EQ
11NSETEST-EQ,12841,,COALINDIA-EQ,20374,,COALINDIA-EQ
NPBET-EQ,12978,,COCHINSHIP-EQ,21508,,COCHINSHIP-EQ
SAFARI-EQ,13035,,COFORGE-EQ,11543,,COFORGE-EQ
TRIVENI-EQ,13081,,COLPAL-EQ,15141,,COLPAL-EQ
KERNEX-EQ,13121,,CONCOR-EQ,4749,,CONCOR-EQ
EBBETF0433-EQ,13139,,CUMMINSIND-EQ,1901,,CUMMINSIND-EQ
ENIL-EQ,13192,,DLF-EQ,14732,,DLF-EQ
COMMOIETF-EQ,13198,,DABUR-EQ,772,,DABUR-EQ
INDOTECH-EQ,13275,,DIVISLAB-EQ,10940,,DIVISLAB-EQ
NITCO-EQ,13300,,DIXON-EQ,21690,,DIXON-EQ
KEI-EQ,13310,,DRREDDY-EQ,881,,DRREDDY-EQ
SUNTV-EQ,13404,,DUMMYSIEMS-EQ,,,DUMMYSIEMS-EQ
JKLAKSHMI-EQ,13491,,EICHERMOT-EQ,910,,EICHERMOT-EQ
AKASH-EQ,13510,,ESCORTS-EQ,958,,ESCORTS-EQ
ALICON-EQ,13656,,ETERNAL-EQ,5097,,ETERNAL-EQ
DONEAR-EQ,13839,,EXIDEIND-EQ,676,,EXIDEIND-EQ
MANALIPETC-EQ,13796,,NYKAA-EQ,6545,,NYKAA-EQ
JINDRILL-EQ,13875,,FEDERALBNK-EQ,1023,,FEDERALBNK-EQ
BANCOINDIA-EQ,13880,,GAIL-EQ,4717,,GAIL-EQ
PARACABLES-EQ,13951,,GMRAIRPORT-EQ,13528,,GMRAIRPORT-EQ
HUBTOWN-EQ,14203,,GLENMARK-EQ,7406,,GLENMARK-EQ
PGIL-EQ,14260,,GODREJCP-EQ,10099,,GODREJCP-EQ
FSL-EQ,14304,,GODREJPROP-EQ,17875,,GODREJPROP-EQ
ORIENTALTL-EQ,14346,,GRASIM-EQ,1232,,GRASIM-EQ
DIVGIITTS-EQ,14479,,HCLTECH-EQ,7229,,HCLTECH-EQ
PSUBNKIETF-EQ,14584,,HDFCAMC-EQ,4244,,HDFCAMC-EQ
041NSETEST-EQ,14755,,HDFCBANK-EQ,1333,,HDFCBANK-EQ
051NSETEST-EQ,14758,,HDFCLIFE-EQ,467,,HDFCLIFE-EQ
